Report_ID,Main_Sentence,Sub_Sentences,Content_Context_BERT,Is_Attack_Pattern
CVE-2015-3354,Cross-site request forgery (CSRF) vulnerability in the Wishlist module before 6.x-2.7 and 7.x-2.x before 7.x-2.7 for Drupal allows remote attackers to hijack the authentication of arbitrary users for requests that delete wishlist purchase intentions via unspecified vectors.,requests that delete wishlist purchase intentions via unspecified vectors,requests that delete wishlist purchase intentions via unspecified vectors [SEP] Cross-site request forgery (CSRF) vulnerability in the Wishlist module before 6.x-2.7 and 7.x-2.x before 7.x-2.7 for Drupal allows remote attackers to hijack the authentication of arbitrary users for requests that delete wishlist purchase intentions via unspecified vectors.,1
CVE-2021-33203,"Django before 2.2.24, 3.x before 3.1.12, and 3.2.x before 3.2.4 has a potential directory traversal via django.contrib.admindocs.","Django before 2.2.24, 3.x before 3.1.12, and 3.2.x before 3.2.4 has a potential directory traversal via django.contrib.admindocs","Django before 2.2.24, 3.x before 3.1.12, and 3.2.x before 3.2.4 has a potential directory traversal via django.contrib.admindocs",1
CVE-2022-47872,A Server-Side Request Forgery (SSRF) in maccms10 v2021.1000.2000 allows attackers to force the application to make arbitrary requests via a crafted payload injected into the Name parameter under the Interface address module.,crafted payload,crafted payload [SEP] A Server-Side Request Forgery (SSRF) in maccms10 v2021.1000.2000 allows attackers to force the application to make arbitrary requests via a crafted payload injected into the Name parameter under the Interface address module.,1
CVE-2023-6725,A malicious attacker with access to any container could exploit this flaw to access sensitive information.,A malicious attacker with access to any container could exploit this flaw to access sensitive information,A malicious attacker with access to any container could exploit this flaw to access sensitive information,1
CVE-2015-9548,It allows attackers to cause a denial of service (memory consumption) via a small compressed file that has a large size when uncompressed.,It allows attackers to cause a denial of service (memory consumption) via a small compressed file that has a large size when uncompressed,It allows attackers to cause a denial of service (memory consumption) via a small compressed file that has a large size when uncompressed,1
CVE-2008-6677,"Unrestricted file upload vulnerability in fckeditor251/editor/filemanager/connectors/asp/upload.asp in QuickerSite 1.8.5 allows remote attackers to execute arbitrary code by uploading a file with an executable extension, then accessing it via a direct request to the file.",remote attackers then accessing it via a direct request to the file,"remote attackers then accessing it via a direct request to the file [SEP] Unrestricted file upload vulnerability in fckeditor251/editor/filemanager/connectors/asp/upload.asp in QuickerSite 1.8.5 allows remote attackers to execute arbitrary code by uploading a file with an executable extension, then accessing it via a direct request to the file.",1
CVE-2020-14328,A Server Side Request Forgery flaw can be abused by supplying a URL which could lead to the server processing it connecting to internal services or exposing additional internal services and more particularly retrieving full details in case of error.,could processing it connecting to internal services,could processing it connecting to internal services [SEP] A Server Side Request Forgery flaw can be abused by supplying a URL which could lead to the server processing it connecting to internal services or exposing additional internal services and more particularly retrieving full details in case of error.,1
CVE-2021-24290,There are several endpoints in the Store Locator Plus for WordPress plugin through 5.5.15 that could allow unauthenticated attackers the ability to inject malicious JavaScript into pages.,are several endpoints in the Store Locator Plus for WordPress plugin through 5.5.15 that could allow unauthenticated attackers the ability to inject malicious JavaScript into pages,are several endpoints in the Store Locator Plus for WordPress plugin through 5.5.15 that could allow unauthenticated attackers the ability to inject malicious JavaScript into pages [SEP] There are several endpoints in the Store Locator Plus for WordPress plugin through 5.5.15 that could allow unauthenticated attackers the ability to inject malicious JavaScript into pages.,1
CVE-2010-3711,"libpurple in Pidgin before 2.7.4 does not properly validate the return value of the purple_base64_decode function, which allows remote authenticated users to cause a denial of service (NULL pointer dereference and application crash) via a crafted message, related to the plugins for MSN, MySpaceIM, XMPP, and Yahoo!","the purple_base64_decode function which allows remote authenticated users to cause a denial of service (NULL pointer dereference and application crash) via a crafted message, related to the plugins for MSN, MySpaceIM, XMPP, and Yahoo","the purple_base64_decode function which allows remote authenticated users to cause a denial of service (NULL pointer dereference and application crash) via a crafted message, related to the plugins for MSN, MySpaceIM, XMPP, and Yahoo [SEP] libpurple in Pidgin before 2.7.4 does not properly validate the return value of the purple_base64_decode function, which allows remote authenticated users to cause a denial of service (NULL pointer dereference and application crash) via a crafted message, related to the plugins for MSN, MySpaceIM, XMPP, and Yahoo!",1
CVE-2022-46158,Users may have been able to view the contents of the upload directory without appropriate permissions.,Users may been able to view the contents of the upload directory without appropriate permissions,Users may been able to view the contents of the upload directory without appropriate permissions [SEP] Users may have been able to view the contents of the upload directory without appropriate permissions.,1
CVE-2023-6206,It was possible to use this fact to surprise users by luring them to click where the permission grant button would be about to appear.,was possible to use this fact to surprise users by luring them to click where the permission grant button would be about to appear,was possible to use this fact to surprise users by luring them to click where the permission grant button would be about to appear [SEP] It was possible to use this fact to surprise users by luring them to click where the permission grant button would be about to appear.,1
CVE-2018-0112,This affects the clients installed by customers when accessing a WebEx meeting.,the clients installed by customers when accessing a WebEx meeting,the clients installed by customers when accessing a WebEx meeting [SEP] This affects the clients installed by customers when accessing a WebEx meeting.,1
CVE-2019-4183,"IBM Cognos Analytics 11.0, and 11.1 is vulnerable to a denial of service attack that could allow a remote user to send specially crafted requests that would consume all available CPU and memory resources.",a denial of service attack that could allow a remote user to send specially crafted requests that would consume all available CPU and memory resources,"a denial of service attack that could allow a remote user to send specially crafted requests that would consume all available CPU and memory resources [SEP] IBM Cognos Analytics 11.0, and 11.1 is vulnerable to a denial of service attack that could allow a remote user to send specially crafted requests that would consume all available CPU and memory resources.",1
CVE-2018-16886,etcd versions 3.2.x before 3.2.26 and 3.3.x before 3.3.11 are vulnerable to an improper authentication issue when role-based access control (RBAC) is used and client-cert-auth is enabled.,when role-based access control (RBAC) used,when role-based access control (RBAC) used [SEP] etcd versions 3.2.x before 3.2.26 and 3.3.x before 3.3.11 are vulnerable to an improper authentication issue when role-based access control (RBAC) is used and client-cert-auth is enabled.,1
CVE-2023-47851,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Akhtarujjaman Shuvo Bootstrap Shortcodes Ultimate allows Stored XSS.This issue affects Bootstrap Shortcodes Ultimate: from n/a through 4.3.1.,Stored XSS.This,Stored XSS.This [SEP] Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Akhtarujjaman Shuvo Bootstrap Shortcodes Ultimate allows Stored XSS.This issue affects Bootstrap Shortcodes Ultimate: from n/a through 4.3.1.,0
CVE-2020-26076,An attacker could exploit this vulnerability by sending crafted curl commands to an affected device.,An attacker sending crafted curl commands to an affected device,An attacker sending crafted curl commands to an affected device [SEP] An attacker could exploit this vulnerability by sending crafted curl commands to an affected device.,1
CVE-2021-41129,"The malicious user must target an account with two-factor authentication enabled, and then must provide a correct two-factor authentication token before being authenticated as that user.",two-factor authentication enabled,"two-factor authentication enabled [SEP] The malicious user must target an account with two-factor authentication enabled, and then must provide a correct two-factor authentication token before being authenticated as that user.",1
CVE-2015-7925,"Cross-site request forgery (CSRF) vulnerability on eWON devices with firmware through 10.1s0 allows remote attackers to hijack the authentication of administrators for requests that trigger firmware upload, removal of configuration data, or a reboot.","remote attackers hijack the authentication of administrators for requests that trigger firmware upload, removal of configuration data, or a reboot","remote attackers hijack the authentication of administrators for requests that trigger firmware upload, removal of configuration data, or a reboot [SEP] Cross-site request forgery (CSRF) vulnerability on eWON devices with firmware through 10.1s0 allows remote attackers to hijack the authentication of administrators for requests that trigger firmware upload, removal of configuration data, or a reboot.",1
CVE-2012-3289,"VMware Workstation 8.x before 8.0.4, VMware Player 4.x before 4.0.4, VMware ESXi 3.5 through 5.0, and VMware ESX 3.5 through 4.1 allow remote attackers to cause a denial of service (guest OS crash) via crafted traffic from a remote virtual device.",remote attackers cause a denial of service (guest OS crash) via crafted traffic from a remote virtual device,"remote attackers cause a denial of service (guest OS crash) via crafted traffic from a remote virtual device [SEP] VMware Workstation 8.x before 8.0.4, VMware Player 4.x before 4.0.4, VMware ESXi 3.5 through 5.0, and VMware ESX 3.5 through 4.1 allow remote attackers to cause a denial of service (guest OS crash) via crafted traffic from a remote virtual device.",1
CVE-2023-26388,Adobe Substance 3D Stager version 2.0.1 (and earlier) is affected by an Improper Input Validation vulnerability that could result in arbitrary code execution in the context of the current user.,an Improper Input Validation vulnerability that could result in arbitrary code execution in the context of the current user,an Improper Input Validation vulnerability that could result in arbitrary code execution in the context of the current user [SEP] Adobe Substance 3D Stager version 2.0.1 (and earlier) is affected by an Improper Input Validation vulnerability that could result in arbitrary code execution in the context of the current user.,1
CVE-2018-4108,macOS before 10.13.4 is affected.,macOS before 10.13.4 affected,macOS before 10.13.4 affected [SEP] macOS before 10.13.4 is affected.,0
CVE-2018-1555,This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,thus altering the intended functionality potentially leading to credentials disclosure within a trusted session,thus altering the intended functionality potentially leading to credentials disclosure within a trusted session [SEP] This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session.,1
CVE-2021-29812,IBM Jazz for Service Management 1.1.3.10 and IBM Tivoli Netcool/OMNIbus_GUI is vulnerable to stored cross-site scripting.,IBM Jazz for Service Management 1.1.3.10 and IBM Tivoli Netcool / OMNIbus_GUI is vulnerable to stored cross-site scripting,IBM Jazz for Service Management 1.1.3.10 and IBM Tivoli Netcool / OMNIbus_GUI is vulnerable to stored cross-site scripting [SEP] IBM Jazz for Service Management 1.1.3.10 and IBM Tivoli Netcool/OMNIbus_GUI is vulnerable to stored cross-site scripting.,1
CVE-2018-15003,"The capability to perform a factory reset is not directly available to third-party apps (those that the user installs themselves with the exception of enabled Mobile Device Management (MDM) apps), although this capability can be obtained by leveraging an unprotected app component of a pre-installed platform app.",those that the user installs themselves with the exception of enabled Mobile Device Management (MDM) apps,"those that the user installs themselves with the exception of enabled Mobile Device Management (MDM) apps [SEP] The capability to perform a factory reset is not directly available to third-party apps (those that the user installs themselves with the exception of enabled Mobile Device Management (MDM) apps), although this capability can be obtained by leveraging an unprotected app component of a pre-installed platform app.",0
CVE-2020-11682,Castel NextGen DVR v1.0.0 is vulnerable to CSRF in all state-changing request.,Castel NextGen DVR v1.0.0 is vulnerable to CSRF in all state-changing request,Castel NextGen DVR v1.0.0 is vulnerable to CSRF in all state-changing request,1
CVE-2010-4488,"Google Chrome before 8.0.552.215 does not properly handle HTTP proxy authentication, which allows remote attackers to cause a denial of service (application crash) via unspecified vectors.","Google Chrome before 8.0.552.215 not properly handle HTTP proxy authentication, which allows remote attackers to cause a denial of service (application crash) via unspecified vectors","Google Chrome before 8.0.552.215 not properly handle HTTP proxy authentication, which allows remote attackers to cause a denial of service (application crash) via unspecified vectors [SEP] Google Chrome before 8.0.552.215 does not properly handle HTTP proxy authentication, which allows remote attackers to cause a denial of service (application crash) via unspecified vectors.",1
CVE-2021-34722,"Multiple vulnerabilities in the CLI of Cisco IOS XR Software could allow an authenticated, local attacker to gain access to the underlying root shell of an affected device and execute arbitrary commands with root privileges.","Multiple vulnerabilities in the CLI of Cisco IOS XR Software could allow an authenticated, local attacker to gain access to the underlying root shell of an affected device and execute arbitrary commands with root privileges","Multiple vulnerabilities in the CLI of Cisco IOS XR Software could allow an authenticated, local attacker to gain access to the underlying root shell of an affected device and execute arbitrary commands with root privileges",1
CVE-2018-15382,"An attacker could exploit this vulnerability by accessing the static signing key from one HyperFlex system and using it to generate valid, signed session tokens for another HyperFlex system.","An attacker using it to generate valid, signed session tokens for another HyperFlex system","An attacker using it to generate valid, signed session tokens for another HyperFlex system [SEP] An attacker could exploit this vulnerability by accessing the static signing key from one HyperFlex system and using it to generate valid, signed session tokens for another HyperFlex system.",1
CVE-2021-23022,Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.,Software versions which reached End of Technical Support (EoTS),Software versions which reached End of Technical Support (EoTS) [SEP] Note: Software versions which have reached End of Technical Support (EoTS) are not evaluated.,0
CVE-2014-8631,"The Chrome Object Wrapper (COW) implementation in Mozilla Firefox before 34.0 and SeaMonkey before 2.31 supports native-interface passing, which allows remote attackers to bypass intended DOM object restrictions via a call to an unspecified method.","The Chrome Object Wrapper (COW) implementation in Mozilla Firefox before 34.0 and SeaMonkey before 2.31 supports native-interface passing, which allows remote attackers to bypass intended DOM object restrictions via a call to an unspecified method","The Chrome Object Wrapper (COW) implementation in Mozilla Firefox before 34.0 and SeaMonkey before 2.31 supports native-interface passing, which allows remote attackers to bypass intended DOM object restrictions via a call to an unspecified method",1
CVE-2016-0906,The web-restore interface in Avamar Data Store (ADS) and Avamar Virtual Edition (AVE) in EMC Avamar through 7.1.2 and 7.2.x through 7.2.1 allows remote authenticated users to read or delete directories via a Linux backup-restore operation.,remote authenticated users read directories via a Linux backup-restore operation,remote authenticated users read directories via a Linux backup-restore operation [SEP] The web-restore interface in Avamar Data Store (ADS) and Avamar Virtual Edition (AVE) in EMC Avamar through 7.1.2 and 7.2.x through 7.2.1 allows remote authenticated users to read or delete directories via a Linux backup-restore operation.,1
CVE-2017-8836,"CSRF exists on Peplink Balance 305, 380, 580, 710, 1350, and 2500 devices with firmware before fw-b305hw2_380hw6_580hw2_710hw3_1350hw2_2500-7.0.1-build2093.","CSRF exists on Peplink Balance 305, 380, 580, 710, 1350, and 2500 devices with firmware before fw-b305hw2_380hw6_580hw2_710hw3_1350hw2_2500","CSRF exists on Peplink Balance 305, 380, 580, 710, 1350, and 2500 devices with firmware before fw-b305hw2_380hw6_580hw2_710hw3_1350hw2_2500 [SEP] CSRF exists on Peplink Balance 305, 380, 580, 710, 1350, and 2500 devices with firmware before fw-b305hw2_380hw6_580hw2_710hw3_1350hw2_2500-7.0.1-build2093.",1
CVE-2018-7590,"CSRF exists in Hoosk 1.7.0 via /admin/users/new/add, resulting in account creation.",CSRF exists in Hoosk 1.7.0 via /admin / users / new / add resulting in account creation,"CSRF exists in Hoosk 1.7.0 via /admin / users / new / add resulting in account creation [SEP] CSRF exists in Hoosk 1.7.0 via /admin/users/new/add, resulting in account creation.",1
